"","Ensembl_ID","logFC","logCPM","LR","PValue","FDR"
"ZNG1F","ENSG00000215126",-0.424777976453418,2.11627897233872,1.52706471898021,0.216553513186127,0.327550193495985
".54","ENSG00000215154",-0.67113750036238,1.83449599243912,4.0736264156898,0.0435576668023708,0.0975574587583391
"GUSBP18","ENSG00000215158",-1.81721771412358,3.94445798451554,17.4898506798151,2.88845544091682e-05,0.000431394881158262
"LINC00680","ENSG00000215190",0.0366441081168062,2.3693518132971,0.0145185303081306,0.904092732055901,0.933026705608813
"PEX26","ENSG00000215193",-0.973793959174043,5.97088184050839,9.96787934755984,0.00159294861926451,0.0085736085729056
"RBMXP2","ENSG00000215210",0.605349626572894,-0.144957317864569,3.68018885550685,0.0550626129464099,0.115995872126077
"FASTKD5","ENSG00000215251",-0.923159969201356,5.10450924095376,12.8852130724148,0.000331188435833521,0.00265556798549397
"GOLGA8B","ENSG00000215252",-0.452544686122131,5.08348030415309,0.811978709580416,0.367535890550245,0.487886684498792
"DHRS4-AS1","ENSG00000215256",-0.0627445177729768,3.19908325882471,0.0393710029480445,0.842715472173841,0.889211353810176
"HOMEZ","ENSG00000215271",0.390319827431696,1.97343438360474,1.5748292504042,0.209507073209669,0.319700540477071
"DDX3X","ENSG00000215301",-1.12456859309156,9.93961373286579,9.83038708728759,0.00171652221372144,0.00901718897744076
"VPS16","ENSG00000215305",-0.369358424981011,4.08516917705454,1.93353928820413,0.164371748574768,0.265338640184949
"MYL5","ENSG00000215375",-0.404631558161803,2.61366651223376,1.56844252810846,0.210433340602908,0.320593812477471
"PSMA6P1","ENSG00000215414",0.171619830730409,0.610260582731166,0.165400700596116,0.68423212382991,0.767169085326623
"MIR17HG","ENSG00000215417",-1.27379458590266,2.19825238323964,8.52065189527666,0.00351138685332279,0.0151499106112954
"ZNF407","ENSG00000215421",-2.2891583587016,4.89968041809291,29.3223067910876,6.12861190617491e-08,4.58814372754743e-06
"MCM3AP-AS1","ENSG00000215424",-0.671404276584167,2.75409787659436,2.87138509165633,0.0901672393563213,0.16724496164473
"NPEPL1","ENSG00000215440",-0.614084945070773,3.1306057002885,2.63504697171809,0.104528969730905,0.18744253623628
"AATBC","ENSG00000215458",-1.49134045527064,2.20071307878645,10.2716433080522,0.00135090425233468,0.00757747422864538
".55","ENSG00000215464",0.390027850656956,-0.378048158481915,1.15488779198178,0.28252829614291,0.400638354838861
"LINC00598","ENSG00000215483",-0.775046927911274,1.31448566569894,3.18379815971527,0.074371668657478,0.144948864424268
